,songs,artists,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,clusters
130,Emotions,Sitting Duck,spotify:track:4Eh4y4YTJo2alVC69ABOzi,0.41200000000000003,0.153,-17.506,0.0409,0.8220000000000001,0.636,0.042,86.985,13
131,Ocean Glimmers,Loafy Building,spotify:track:1LXz7zjfgHbGiS3EIXzod4,0.6990000000000001,0.191,-20.590999999999998,0.0494,0.8759999999999999,0.84,0.184,140.024,2
132,Other Side,Project AER,spotify:track:3my7VxNjE4jTGPP4sZrju3,0.644,0.11800000000000001,-16.884,0.0367,0.647,0.878,0.23,143.955,2
133,Leaning on You,Loafy Building,spotify:track:2UfBkjBkBXPz7kk64sq9yc,0.531,0.292,-14.262,0.0439,0.878,0.34,0.151,129.938,9
134,One Missed Call,vhsgus,spotify:track:2PhN5KneDSV5UgqWO1AF8l,0.76,0.273,-13.747,0.0564,0.937,0.7559999999999999,0.363,80.029,13
135,Do I Rly Luv U,Enluv,spotify:track:5ngcReHEY4qenU3ujHDI0O,0.474,0.385,-11.055,0.134,0.28600000000000003,0.0826,0.595,60.538999999999994,1
136,The Other Side,l'Outlander,spotify:track:7cuyHKud4AdxYAVgQWZlo5,0.5770000000000001,0.16399999999999998,-13.084000000000001,0.0424,0.237,0.893,0.254,160.178,2
137,Green Leaves,BubbleWild,spotify:track:6Vaxrjen5doVo4DAZRHUvZ,0.76,0.256,-9.859,0.27899999999999997,0.0113,0.915,0.47600000000000003,170.24,6
138,Away,Clément Matrat,spotify:track:4mnxszOLjMyoihR96gq8Pk,0.6759999999999999,0.33,-13.639000000000001,0.0392,0.523,0.9490000000000001,0.643,83.036,13
139,overthinking,l'Outlander,spotify:track:6pb6D25FOGKnLqy6etzGel,0.6559999999999999,0.31,-11.937000000000001,0.109,0.38799999999999996,0.9,0.233,170.013,2
140,Thank You,Bequem,spotify:track:4rstFksGeTM6yqrFdYkIxA,0.7140000000000001,0.293,-9.568,0.0861,0.872,0.94,0.485,179.94,2
141,Serenity,Linearwave,spotify:track:4WJCO0QIYfNLEwchgfb3UA,0.727,0.18100000000000002,-18.872,0.033,0.9790000000000001,0.929,0.0759,126.009,2
142,Hip Hop Weekdays,Chill Beats Music,spotify:track:7xre34OXHr74FJ5TqK9jyu,0.8170000000000001,0.431,-11.857999999999999,0.153,0.621,0.775,0.428,90.00399999999999,13
143,Chill Days,Zmeyev,spotify:track:4I2yX3dsILRoTTMfTrkYIE,0.797,0.365,-12.107000000000001,0.222,0.495,0.747,0.387,128.002,2
144,Imaginary Flowers,Aethers,spotify:track:7mAbJJPRCixg4wmwVApBBW,0.7190000000000001,0.418,-9.1,0.0464,0.5710000000000001,0.8340000000000001,0.40700000000000003,83.985,13
145,Warmer Together,lisnn,spotify:track:1PFBZIQJ5ETnT0f1zTSPQs,0.6940000000000001,0.424,-9.584,0.0359,0.615,0.9109999999999999,0.285,81.013,13
146,Late Night Walks,Hoffy Beats,spotify:track:3Wbl9hupuHewRayxWylyPd,0.54,0.152,-11.117,0.0312,0.9329999999999999,0.938,0.0409,78.031,13
147,Every Night,Zmeyev,spotify:track:3YJfyZAiUqmliS5wh7W5mu,0.778,0.396,-11.539000000000001,0.0723,0.631,0.81,0.529,86.01,13
148,Lakeside Picnic,coldbrew,spotify:track:6sHs6c8lBr6MDSTqugoI7H,0.753,0.5529999999999999,-13.550999999999998,0.11,0.584,0.9440000000000001,0.506,141.969,2
149,Coco Cove,Oaty.,spotify:track:5wmTMe7AefHhus3D2oFHHr,0.785,0.46799999999999997,-7.457000000000001,0.31,0.495,0.93,0.589,168.02900000000002,6
150,Night Stash,Kanopy,spotify:track:3xWiHuPGbbya65qi9c0DkJ,0.6409999999999999,0.36,-13.123,0.242,0.615,0.757,0.584,128.791,2
151,Arcadia,Chill Beats Music,spotify:track:0zqbGwqA9LpOKyydkmCKmt,0.688,0.337,-14.207,0.055,0.4,0.863,0.192,80.007,13
152,When We Met,No Spirit,spotify:track:7bqgXhrtRhpLd69pqDy48L,0.6459999999999999,0.37200000000000005,-13.270999999999999,0.0664,0.92,0.919,0.35600000000000004,129.88299999999998,2
153,Sunshine,a boy with a balloon,spotify:track:2rapmk62XOOQn9xRBLHYqp,0.943,0.7290000000000001,-12.454,0.0852,0.36700000000000005,0.7020000000000001,0.5670000000000001,125.041,11
154,Dawn,Teo,spotify:track:23KMcjfaIzNmf5eNQ0XQvr,0.777,0.292,-10.735,0.114,0.885,0.8420000000000001,0.138,79.972,13
155,Zero Gravity,Purrple Cat,spotify:track:3Qusl4y1MvWP5CPEuPF3mx,0.775,0.22,-15.630999999999998,0.0843,0.732,0.606,0.185,110.03,13
